Produto adicionado: teclado_mecanico (quantidade: 2, total: 2/30)
Produto adicionado: rato_gaming (quantidade: 3, total: 5/30)
Produto adicionado: monitor_24 (quantidade: 1, total: 6/30)
Produto adicionado: monitor_32 (quantidade: 1, total: 7/30)
Produto adicionado: headset_usb (quantidade: 5, total: 12/30)
Produto adicionado: cadeira_gaming (quantidade: 1, total: 13/30)
Produto adicionado: disco_ssd_1tb (quantidade: 2, total: 15/30)
Produto adicionado: pendrive_64gb (quantidade: 10, total: 25/30)
Produto adicionado: router_wifi6 (quantidade: 1, total: 26/30)
Produto adicionado: tapete_rato (quantidade: 4, total: 30/30)
Número máximo atingido! Produto recusado: produto11 (quantidade: 2, total atual: 30/30)
Número máximo atingido! Produto recusado: produto12 (quantidade: 3, total atual: 30/30)
Número máximo atingido! Produto recusado: produto13 (quantidade: 1, total atual: 30/30)
Número máximo atingido! Produto recusado: produto14 (quantidade: 5, total atual: 30/30)
Número máximo atingido! Produto recusado: produto15 (quantidade: 2, total atual: 30/30)
Número máximo atingido! Produto recusado: produto16 (quantidade: 3, total atual: 30/30)
Número máximo atingido! Produto recusado: produto17 (quantidade: 1, total atual: 30/30)
Número máximo atingido! Produto recusado: produto18 (quantidade: 4, total atual: 30/30)
Número máximo atingido! Produto recusado: produto19 (quantidade: 2, total atual: 30/30)
Número máximo atingido! Produto recusado: produto20 (quantidade: 1, total atual: 30/30)
Número máximo atingido! Produto recusado: produto21 (quantidade: 5, total atual: 30/30)
Número máximo atingido! Produto recusado: produto22 (quantidade: 3, total atual: 30/30)
Número máximo atingido! Produto recusado: produto23 (quantidade: 2, total atual: 30/30)
Número máximo atingido! Produto recusado: produto24 (quantidade: 1, total atual: 30/30)
Número máximo atingido! Produto recusado: produto25 (quantidade: 4, total atual: 30/30)
Número máximo atingido! Produto recusado: produto26 (quantidade: 2, total atual: 30/30)
Número máximo atingido! Produto recusado: produto27 (quantidade: 3, total atual: 30/30)
Número máximo atingido! Produto recusado: produto28 (quantidade: 1, total atual: 30/30)
Número máximo atingido! Produto recusado: produto29 (quantidade: 2, total atual: 30/30)
Número máximo atingido! Produto recusado: produto30 (quantidade: 5, total atual: 30/30)
Número máximo atingido! Produto recusado: produto31 (quantidade: 7, total atual: 30/30)
